"기준_년분기_코드","행정동_코드","행정동_코드_명","서비스_업종_코드","서비스_업종_코드_명","점포_수","유사_업종_점포_수","개업_율","개업_점포_수","폐업_률","폐업_점포_수","프랜차이즈_점포_수"
"20213","11440590","용강동","CS300004","핸드폰","19","19","5","1","11","2","0"
"20213","11440590","용강동","CS300005","주류도매","9","9","0","0","0","0","0"
"20213","11440590","용강동","CS300006","미곡판매","2","2","0","0","0","0","0"
"20213","11440590","용강동","CS300007","육류판매","12","12","17","2","8","1","0"
"20213","11440590","용강동","CS300008","수산물판매","4","4","0","0","0","0","0"
"20213","11440590","용강동","CS300009","청과상","16","16","0","0","0","0","0"
"20213","11440590","용강동","CS300010","반찬가게","41","41","5","2","2","1","0"
"20213","11440590","용강동","CS300011","일반의류","46","46","7","3","2","1","0"
"20213","11440590","용강동","CS300013","유아의류","0","1","0","0","0","0","1"
"20213","11440590","용강동","CS300014","신발","2","2","0","0","0","0","0"
"20213","11440590","용강동","CS300015","가방","4","4","0","0","0","0","0"
"20213","11440590","용강동","CS300016","안경","4","4","0","0","0","0","0"
"20213","11440590","용강동","CS300017","시계및귀금속","3","3","0","0","0","0","0"
"20213","11440590","용강동","CS300018","의약품","21","22","9","2","0","0","1"
"20213","11440590","용강동","CS300019","의료기기","14","14","0","0","0","0","0"
"20213","11440590","용강동","CS300020","서적","16","17","0","0","0","0","1"
"20213","11440590","용강동","CS300021","문구","17","19","11","2","0","0","2"
"20213","11440590","용강동","CS300022","화장품","55","57","4","2","0","0","2"
"20213","11440590","용강동","CS300023","미용재료","4","4","0","0","0","0","0"
"20213","11440590","용강동","CS300024","운동/경기용품","9","9","11","1","0","0","0"
"20213","11440590","용강동","CS300025","자전거 및 기타운송장비","3","3","0","0","0","0","0"
"20213","11440590","용강동","CS300026","완구","2","2","0","0","0","0","0"
"20213","11440590","용강동","CS300027","섬유제품","10","10","0","0","0","0","0"
"20213","11440590","용강동","CS300028","화초","10","10","10","1","0","0","0"
"20213","11440590","용강동","CS300029","애완동물","1","1","0","0","0","0","0"
"20213","11440590","용강동","CS300031","가구","3","3","0","0","0","0","0"
"20213","11440590","용강동","CS300032","가전제품","5","5","0","0","0","0","0"
"20213","11440590","용강동","CS300033","철물점","6","6","0","0","0","0","0"
"20213","11440590","용강동","CS300034","악기","3","3","0","0","0","0","0"
"20213","11440590","용강동","CS300035","인테리어","8","8","0","0","0","0","0"
"20213","11440590","용강동","CS300036","조명용품","41","41","5","2","5","2","0"
"20213","11440590","용강동","CS300037","중고차판매","2","2","0","0","0","0","0"
"20213","11440590","용강동","CS300038","자동차부품","12","12","0","0","0","0","0"
"20213","11440590","용강동","CS300041","예술품","2","2","0","0","0","0","0"
"20213","11440590","용강동","CS300042","주유소","2","2","0","0","0","0","0"
"20213","11440590","용강동","CS300043","전자상거래업","47","47","2","1","2","1","0"
"20213","11440600","대흥동","CS100001","한식음식점","112","124","2","3","4","5","12"
"20213","11440600","대흥동","CS100002","중식음식점","13","13","0","0","0","0","0"
"20213","11440600","대흥동","CS100003","일식음식점","9","10","10","1","0","0","1"
"20213","11440600","대흥동","CS100004","양식음식점","19","23","9","2","0","0","4"
"20213","11440600","대흥동","CS100005","제과점","14","18","0","0","0","0","4"
"20213","11440600","대흥동","CS100006","패스트푸드점","10","21","0","0","14","3","11"
"20213","11440600","대흥동","CS100007","치킨전문점","6","10","0","0","10","1","4"
"20213","11440600","대흥동","CS100008","분식전문점","38","46","2","1","7","3","8"
"20213","11440600","대흥동","CS100009","호프-간이주점","24","28","0","0","4","1","4"
"20213","11440600","대흥동","CS100010","커피-음료","57","78","6","5","5","4","21"
"20213","11440600","대흥동","CS200001","일반교습학원","66","71","4","3","3","2","5"
"20213","11440600","대흥동","CS200002","외국어학원","10","10","0","0","0","0","0"
"20213","11440600","대흥동","CS200003","예술학원","20","20","10","2","0","0","0"
"20213","11440600","대흥동","CS200004","컴퓨터학원","11","11","0","0","0","0","0"
"20213","11440600","대흥동","CS200005","스포츠 강습","18","18","11","2","0","0","0"
"20213","11440600","대흥동","CS200006","일반의원","42","42","0","0","0","0","0"
"20213","11440600","대흥동","CS200007","치과의원","18","18","0","0","6","1","0"
"20213","11440600","대흥동","CS200008","한의원","14","14","0","0","7","1","0"
"20213","11440600","대흥동","CS200009","동물병원","2","2","0","0","0","0","0"
"20213","11440600","대흥동","CS200010","변호사사무소","1","1","0","0","0","0","0"
"20213","11440600","대흥동","CS200012","법무사사무소","1","1","0","0","0","0","0"
"20213","11440600","대흥동","CS200013","기타법무서비스","3","3","0","0","0","0","0"
"20213","11440600","대흥동","CS200014","회계사사무소","3","3","0","0","0","0","0"
"20213","11440600","대흥동","CS200015","세무사사무소","17","17","0","0","0","0","0"
"20213","11440600","대흥동","CS200016","당구장","8","8","13","1","0","0","0"
"20213","11440600","대흥동","CS200017","골프연습장","2","2","0","0","50","1","0"
"20213","11440600","대흥동","CS200019","PC방","5","6","0","0","0","0","1"
"20213","11440600","대흥동","CS200021","기타오락장","0","0","0","0","0","1","0"
"20213","11440600","대흥동","CS200022","복권방","3","3","0","0","0","0","0"
"20213","11440600","대흥동","CS200023","통신기기수리","1","1","0","0","0","0","0"
"20213","11440600","대흥동","CS200024","스포츠클럽","10","10","0","0","0","0","0"
"20213","11440600","대흥동","CS200025","자동차수리","4","4","0","0","0","0","0"
"20213","11440600","대흥동","CS200026","자동차미용","2","2","0","0","0","0","0"
"20213","11440600","대흥동","CS200027","모터사이클수리","4","4","0","0","0","0","0"
"20213","11440600","대흥동","CS200028","미용실","47","48","0","0","4","2","1"
"20213","11440600","대흥동","CS200029","네일숍","9","10","0","0","0","0","1"
"20213","11440600","대흥동","CS200030","피부관리실","21","25","0","0","0","0","4"
"20213","11440600","대흥동","CS200031","세탁소","9","13","8","1","0","0","4"
"20213","11440600","대흥동","CS200032","가전제품수리","6","6","0","0","0","0","0"
"20213","11440600","대흥동","CS200033","부동산중개업","159","159","0","0","1","2","0"
"20213","11440600","대흥동","CS200034","여관","31","32","3","1","9","3","1"
"20213","11440600","대흥동","CS200035","게스트하우스","5","5","0","0","20","1","0"
"20213","11440600","대흥동","CS200037","노래방","7","7","0","0","0","0","0"
"20213","11440600","대흥동","CS200038","독서실","11","16","0","0","0","0","5"
"20213","11440600","대흥동","CS200040","녹음실","3","3","0","0","0","0","0"
"20213","11440600","대흥동","CS200041","사진관","12","12","0","0","8","1","0"
"20213","11440600","대흥동","CS200042","통번역서비스","6","6","0","0","0","0","0"
"20213","11440600","대흥동","CS200043","건축물청소","8","8","0","0","0","0","0"
"20213","11440600","대흥동","CS200044","여행사","19","19","0","0","0","0","0"
"20213","11440600","대흥동","CS200046","의류임대","1","1","0","0","0","0","0"
"20213","11440600","대흥동","CS200047","가정용품임대","2","2","0","0","0","0","0"
"20213","11440600","대흥동","CS300001","슈퍼마켓","12","21","0","0","10","2","9"
"20213","11440600","대흥동","CS300002","편의점","4","33","0","0","0","0","29"
"20213","11440600","대흥동","CS300003","컴퓨터및주변장치판매","10","10","0","0","0","0","0"
"20213","11440600","대흥동","CS300004","핸드폰","22","22","0","0","5","1","0"
"20213","11440600","대흥동","CS300005","주류도매","5","5","0","0","0","0","0"
"20213","11440600","대흥동","CS300006","미곡판매","3","3","0","0","0","0","0"
"20213","11440600","대흥동","CS300007","육류판매","8","9","0","0","11","1","1"
"20213","11440600","대흥동","CS300008","수산물판매","2","2","0","0","0","0","0"
"20213","11440600","대흥동","CS300009","청과상","6","6","0","0","0","0","0"
"20213","11440600","대흥동","CS300010","반찬가게","16","16","0","0","6","1","0"
"20213","11440600","대흥동","CS300011","일반의류","35","35","0","0","3","1","0"
"20213","11440600","대흥동","CS300013","유아의류","1","1","0","0","0","0","0"
"20213","11440600","대흥동","CS300014","신발","2","2","0","0","0","0","0"
"20213","11440600","대흥동","CS300015","가방","1","1","0","0","0","0","0"
"20213","11440600","대흥동","CS300016","안경","6","7","0","0","0","0","1"
"20213","11440600","대흥동","CS300017","시계및귀금속","1","2","0","0","0","0","1"
"20213","11440600","대흥동","CS300018","의약품","20","24","4","1","0","0","4"
"20213","11440600","대흥동","CS300019","의료기기","3","3","0","0","0","0","0"
"20213","11440600","대흥동","CS300020","서적","8","9","11","1","22","2","1"
"20213","11440600","대흥동","CS300021","문구","7","9","11","1","0","0","2"
"20213","11440600","대흥동","CS300022","화장품","35","38","0","0","3","1","3"
"20213","11440600","대흥동","CS300023","미용재료","2","2","0","0","0","0","0"
"20213","11440600","대흥동","CS300024","운동/경기용품","4","4","0","0","0","0","0"
"20213","11440600","대흥동","CS300027","섬유제품","5","5","0","0","0","0","0"
"20213","11440600","대흥동","CS300028","화초","13","13","8","1","0","0","0"
"20213","11440600","대흥동","CS300029","애완동물","3","3","33","1","0","0","0"
"20213","11440600","대흥동","CS300031","가구","1","1","100","1","0","0","0"
"20213","11440600","대흥동","CS300032","가전제품","7","7","0","0","0","0","0"
"20213","11440600","대흥동","CS300033","철물점","2","2","0","0","0","0","0"
"20213","11440600","대흥동","CS300034","악기","2","2","0","0","0","0","0"
"20213","11440600","대흥동","CS300035","인테리어","5","5","0","0","20","1","0"
"20213","11440600","대흥동","CS300036","조명용품","7","7","0","0","0","0","0"
"20213","11440600","대흥동","CS300038","자동차부품","2","2","0","0","0","0","0"
"20213","11440600","대흥동","CS300040","재생용품 판매점","4","4","0","0","0","0","0"
"20213","11440600","대흥동","CS300041","예술품","1","1","0","0","0","0","0"
"20213","11440600","대흥동","CS300042","주유소","1","1","0","0","0","0","0"
"20213","11440600","대흥동","CS300043","전자상거래업","20","20","5","1","5","1","0"
"20213","11440610","염리동","CS100001","한식음식점","66","74","7","5","5","4","8"
"20213","11440610","염리동","CS100002","중식음식점","4","5","20","1","0","0","1"
"20213","11440610","염리동","CS100003","일식음식점","9","10","0","0","0","0","1"
"20213","11440610","염리동","CS100004","양식음식점","10","11","9","1","0","0","1"
"20213","11440610","염리동","CS100005","제과점","17","19","5","1","0","0","2"
